i,j,k,nx,ny,nz 
0,0,0,-9.020278e-01,3.370236e-01,-2.697425e-01
0,0,1,-9.420994e-01,1.343437e-01,-3.072465e-01
0,0,2,-9.966091e-01,6.961886e-02,4.385723e-02
0,0,3,4.300154e-01,-6.036520e-01,-6.713352e-01
0,0,4,-6.879939e-01,6.195575e-01,3.779058e-01
0,0,5,-6.528495e-01,5.497299e-01,5.211377e-01
0,0,6,-5.366874e-01,-4.164868e-01,7.338292e-01
0,0,7,8.408916e-01,-5.280487e-01,-1.185993e-01
0,0,8,-6.552152e-01,3.627971e-02,-7.545707e-01
0,0,9,1.283162e-02,5.837557e-01,-8.118280e-01
0,0,10,1.263162e-01,1.306676e-01,9.833464e-01
0,0,11,-4.684718e-01,6.046187e-01,-6.441819e-01
0,0,12,4.860357e-02,-7.805943e-01,6.231455e-01
0,0,13,-6.020559e-01,6.360641e-01,-4.826501e-01
0,0,14,-6.916388e-01,-5.762024e-01,-4.354613e-01
0,0,15,-3.443994e-01,3.867345e-01,-8.554680e-01
0,0,16,1.753355e-01,-7.227981e-01,6.684462e-01
0,0,17,-2.111073e-01,-9.772944e-01,1.814980e-02
0,0,18,6.844767e-01,-2.775980e-01,6.741150e-01
0,0,19,1.318029e-01,1.733263e-01,9.760051e-01
0,0,20,-3.616735e-01,4.739323e-01,-8.028577e-01
0,0,21,7.285189e-01,6.246884e-01,2.811132e-01
0,0,22,-6.150731e-01,-4.664667e-01,-6.356838e-01
0,0,23,7.836733e-01,1.978167e-01,5.888334e-01
0,0,24,6.653205e-01,6.511998e-01,3.650855e-01
0,0,25,5.833572e-01,-5.401630e-01,6.065627e-01
0,0,26,-3.666054e-01,8.196823e-01,-4.401378e-01
0,0,27,3.563226e-01,6.566997e-01,-6.646651e-01
0,0,28,-7.892897e-01,-4.976481e-01,3.596778e-01
0,0,29,-6.446866e-01,-7.642054e-01,1.921525e-02
0,0,30,-5.728264e-01,-7.488731e-01,3.332551e-01
0,0,31,5.572056e-01,-5.119011e-01,6.538189e-01
0,0,32,-3.416789e-01,-6.346640e-01,6.931502e-01
0,0,33,7.612695e-01,5.509623e-01,3.419201e-01
