i,j,k,nx,ny,nz 
0,0,0,6.330359e-01,-5.875099e-01,-5.040811e-01
0,0,1,5.532290e-01,-7.006623e-01,-4.505664e-01
0,0,2,-7.816500e-01,5.842818e-01,2.182614e-01
0,0,3,-7.346182e-01,6.071812e-01,3.027657e-01
0,0,4,4.884908e-01,-8.219974e-01,-2.927407e-01
0,0,5,6.279235e-01,-7.056454e-01,-3.282935e-01
0,0,6,6.896814e-01,-5.140137e-01,-5.100288e-01
0,0,7,-3.156047e-01,7.022530e-01,6.381492e-01
0,0,8,-3.043940e-01,4.797359e-01,8.229203e-01
0,0,9,4.219843e-01,-6.195680e-01,-6.618646e-01
0,0,10,-5.553969e-01,5.797706e-01,5.961547e-01
0,0,11,5.804256e-01,-6.341253e-01,-5.108729e-01
0,0,12,-3.800519e-01,6.828356e-01,6.239360e-01
0,0,13,-6.107676e-01,4.421276e-01,6.568761e-01
0,0,14,5.682244e-01,-6.927091e-01,-4.441567e-01
0,0,15,6.464787e-01,-6.423166e-01,-4.116972e-01
0,0,16,6.429856e-01,-7.147388e-01,-2.751691e-01
0,0,17,6.376477e-01,-7.122486e-01,-2.934406e-01
0,0,18,-4.185188e-01,7.062380e-01,5.710253e-01
0,0,19,1.748214e-01,-6.926703e-01,-6.997466e-01
0,0,20,4.697355e-01,-6.736763e-01,-5.705338e-01
0,0,21,5.825545e-01,-5.945803e-01,-5.541702e-01
0,0,22,7.380154e-01,-4.482052e-01,-5.044258e-01
0,0,23,7.113057e-01,-3.524042e-01,-6.081574e-01
0,0,24,6.464815e-01,-4.523257e-01,-6.143803e-01
0,0,25,5.497595e-01,-4.787067e-01,-6.845469e-01
0,0,26,-5.958817e-01,4.199570e-01,6.845152e-01
0,0,27,6.348782e-01,-5.613200e-01,-5.308949e-01
0,0,28,-5.835579e-01,6.264148e-01,5.167830e-01
0,0,29,-7.186203e-01,5.651972e-01,4.051383e-01
0,0,30,-6.071112e-01,6.560962e-01,4.482787e-01
0,0,31,4.884262e-01,-8.105162e-01,-3.232698e-01
0,0,32,5.039196e-01,-7.049176e-01,-4.991554e-01
0,0,33,-4.398383e-01,7.773707e-01,4.497079e-01
0,0,34,5.474659e-01,-5.489537e-01,-6.316098e-01
0,0,35,-3.028120e-01,5.835156e-01,7.535346e-01
0,0,36,5.539827e-01,-5.829228e-01,-5.943939e-01
0,0,37,-7.378329e-01,4.830097e-01,4.714915e-01
0,0,38,4.102505e-01,-6.291780e-01,-6.601739e-01
0,0,39,7.235128e-01,-5.515575e-01,-4.151067e-01
0,1,0,5.340530e-01,-7.235429e-01,-4.373478e-01
0,1,1,-3.832489e-01,7.074842e-01,5.937899e-01
0,1,2,-3.837680e-01,7.271025e-01,5.692487e-01
0,1,3,-5.880590e-01,7.607725e-01,2.746122e-01
0,1,4,-5.295339e-01,8.379674e-01,1.319264e-01
0,1,5,-6.808731e-01,5.862089e-01,4.390569e-01
0,1,6,4.716265e-01,-6.561136e-01,-5.891378e-01
0,1,7,-8.489245e-02,7.013333e-01,7.077605e-01
0,1,8,5.280209e-01,-5.925075e-01,-6.083821e-01
0,1,9,-7.388810e-01,5.112527e-01,4.389482e-01
0,1,10,-6.343635e-01,5.241053e-01,5.682398e-01
0,1,11,6.166231e-01,-6.416853e-01,-4.560875e-01
0,1,12,-6.405456e-01,6.847188e-01,3.476514e-01
0,1,13,6.490927e-01,-6.625555e-01,-3.737631e-01
0,1,14,-7.703375e-01,4.255900e-01,4.748192e-01
0,1,15,8.171630e-01,-5.102758e-01,-2.680733e-01
0,1,16,-7.021200e-01,4.425881e-01,5.578022e-01
0,1,17,-6.902875e-01,4.522043e-01,5.648137e-01
0,1,18,-4.812060e-01,4.783940e-01,7.345610e-01
0,1,19,-3.136346e-01,7.902808e-01,5.263930e-01
0,1,20,7.259576e-01,-3.699486e-01,-5.797617e-01
0,1,21,5.159355e-01,-6.917433e-01,-5.052739e-01
0,1,22,5.803551e-01,-4.827342e-01,-6.558625e-01
0,1,23,7.396770e-01,-3.871282e-01,-5.504632e-01
0,1,24,5.490878e-01,-6.054215e-01,-5.761661e-01
0,1,25,-6.291004e-01,4.800234e-01,6.114002e-01
0,1,26,-6.546448e-01,5.006630e-01,5.663715e-01
0,1,27,-7.436559e-01,6.233577e-01,2.416632e-01
0,1,28,5.191738e-01,-6.881733e-01,-5.068293e-01
0,1,29,-2.338186e-01,8.178918e-01,5.257203e-01
0,1,30,-6.705060e-01,6.546329e-01,3.491096e-01
0,1,31,-6.369936e-01,7.287052e-01,2.514517e-01
0,1,32,-7.702328e-01,5.660529e-01,2.938121e-01
0,1,33,-5.510715e-01,8.262692e-01,1.166164e-01
0,1,34,4.544581e-01,-5.011414e-01,-7.364273e-01
0,1,35,-7.125652e-01,4.160651e-01,5.649254e-01
0,1,36,6.218225e-01,-3.576086e-01,-6.967445e-01
0,1,37,7.070422e-01,-5.121562e-01,-4.876344e-01
0,1,38,-4.337111e-01,6.125299e-01,6.608342e-01
0,1,39,6.392941e-01,-7.393890e-01,-2.112036e-01
0,2,0,5.117121e-01,-6.910606e-01,-5.104763e-01
0,2,1,-4.833798e-01,6.748022e-01,5.576611e-01
0,2,2,7.451340e-01,-3.045136e-01,-5.933353e-01
0,2,3,-5.962950e-01,7.037919e-01,3.861467e-01
0,2,4,7.562087e-01,-4.118219e-02,-6.530333e-01
0,2,5,6.406276e-01,-4.855052e-01,-5.948789e-01
0,2,6,5.937175e-01,-6.464144e-01,-4.792160e-01
0,2,7,-5.787437e-01,5.311513e-01,6.188166e-01
0,2,8,5.413447e-01,-4.933933e-01,-6.808150e-01
0,2,9,-5.057926e-01,6.321318e-01,5.870122e-01
0,2,10,-6.607383e-01,5.598390e-01,5.000051e-01
0,2,11,6.365266e-01,-5.913751e-01,-4.950852e-01
0,2,12,6.938032e-01,-5.393401e-01,-4.772310e-01
0,2,13,6.807356e-01,-5.482255e-01,-4.858475e-01
0,2,14,7.645945e-01,-3.243127e-01,-5.569708e-01
0,2,15,5.987727e-01,-6.156743e-01,-5.122660e-01
0,2,16,7.201354e-01,-6.069989e-01,-3.360913e-01
0,2,17,5.933746e-01,-3.677864e-01,-7.159886e-01
0,2,18,6.399217e-01,-3.783236e-01,-6.688583e-01
0,2,19,5.511355e-01,-4.385706e-01,-7.098630e-01
0,2,20,4.847598e-01,-6.959883e-01,-5.297247e-01
0,2,21,3.834836e-01,-5.500348e-01,-7.418909e-01
0,2,22,7.482977e-01,-4.167187e-01,-5.161357e-01
0,2,23,6.775019e-01,-5.159437e-01,-5.242073e-01
0,2,24,-6.707880e-01,4.087822e-01,6.188220e-01
0,2,25,5.320855e-01,-4.993182e-01,-6.837883e-01
0,2,26,-6.409007e-01,4.867597e-01,5.935581e-01
0,2,27,5.850664e-01,-6.591607e-01,-4.724452e-01
0,2,28,6.498746e-01,-3.573268e-01,-6.708059e-01
0,2,29,-5.181806e-01,5.843793e-01,6.244915e-01
0,2,30,4.477918e-01,-7.655760e-01,-4.619262e-01
0,2,31,-4.574706e-01,6.567605e-01,5.994883e-01
0,2,32,-8.145946e-01,5.577943e-01,1.590634e-01
0,2,33,6.071074e-01,-6.348646e-01,-4.778781e-01
0,2,34,2.997159e-01,-6.628492e-01,-6.861496e-01
0,2,35,5.172009e-01,-4.843893e-01,-7.055992e-01
0,2,36,-6.060539e-01,4.120190e-01,6.803962e-01
0,2,37,-6.851659e-01,5.321075e-01,4.974026e-01
0,2,38,5.979690e-01,-7.425520e-01,-3.017443e-01
0,2,39,-6.820205e-01,6.615195e-01,3.118334e-01
0,3,0,-7.469116e-01,5.510389e-01,3.721280e-01
0,3,1,5.760033e-01,-5.918923e-01,-5.638118e-01
0,3,2,-6.680006e-01,5.923109e-01,4.504919e-01
0,3,3,-5.991862e-01,3.049464e-01,7.402592e-01
0,3,4,6.032315e-01,-4.890637e-01,-6.300226e-01
0,3,5,-4.480582e-01,6.495892e-01,6.142294e-01
0,3,6,6.495745e-01,-5.103432e-01,-5.635625e-01
0,3,7,-1.341955e-01,7.281382e-01,6.721654e-01
0,3,8,5.042308e-01,-6.608223e-01,-5.559363e-01
0,3,9,-5.724067e-01,5.845549e-01,5.750184e-01
0,3,10,7.679971e-01,-5.021809e-01,-3.974855e-01
0,3,11,6.710167e-01,-6.191986e-01,-4.078353e-01
0,3,12,-6.397440e-01,4.598491e-01,6.158461e-01
0,3,13,7.502374e-01,-3.012756e-01,-5.885379e-01
0,3,14,-7.172682e-01,4.232448e-01,5.535252e-01
0,3,15,-6.238407e-01,5.194151e-01,5.839784e-01
0,3,16,-7.188870e-01,4.593693e-01,5.217100e-01
0,3,17,6.045447e-01,-7.009697e-01,-3.783743e-01
0,3,18,6.112576e-01,-6.324899e-01,-4.757318e-01
0,3,19,5.086485e-01,-6.772880e-01,-5.315615e-01
0,3,20,5.637003e-01,-5.750766e-01,-5.928987e-01
0,3,21,4.282280e-01,-5.656328e-01,-7.047555e-01
0,3,22,-7.365103e-01,4.343730e-01,5.185294e-01
0,3,23,5.761391e-01,-3.822048e-01,-7.224841e-01
0,3,24,5.205104e-01,-5.601266e-01,-6.444588e-01
0,3,25,4.589197e-01,-7.168241e-01,-5.249341e-01
0,3,26,5.603963e-01,-5.756486e-01,-5.954701e-01
0,3,27,6.371691e-01,-3.625707e-01,-6.801162e-01
0,3,28,5.952416e-01,-2.711096e-03,-8.035422e-01
0,3,29,5.281374e-01,-5.216652e-01,-6.700271e-01
0,3,30,-4.576058e-01,7.765047e-01,4.331713e-01
0,3,31,-3.897740e-01,6.867647e-01,6.135393e-01
0,3,32,7.646753e-01,-4.985424e-01,-4.083224e-01
0,3,33,-8.425321e-01,4.903317e-01,2.229673e-01
0,3,34,-6.505424e-01,3.825539e-01,6.560846e-01
0,3,35,7.866309e-01,-2.302140e-01,-5.728991e-01
0,3,36,6.395962e-01,-6.043286e-01,-4.750827e-01
0,3,37,7.344529e-01,-4.985798e-01,-4.604315e-01
0,3,38,-4.743087e-01,6.501011e-01,5.936327e-01
0,3,39,-4.767018e-01,7.041206e-01,5.262789e-01
0,4,0,5.869441e-01,-5.784324e-01,-5.664915e-01
0,4,1,4.868372e-01,-6.163166e-01,-6.189858e-01
0,4,2,5.066194e-01,-5.232774e-01,-6.852135e-01
0,4,3,-4.413679e-01,6.253031e-01,6.435763e-01
0,4,4,-2.866991e-01,7.425677e-01,6.053072e-01
0,4,5,5.727883e-01,-6.303095e-01,-5.240452e-01
0,4,6,-5.161279e-01,7.621843e-01,3.907519e-01
0,4,7,5.362461e-01,-3.952057e-01,-7.458234e-01
0,4,8,6.093941e-01,-7.187654e-01,-3.346866e-01
0,4,9,-5.084332e-01,6.381058e-01,5.782013e-01
0,4,10,5.398719e-01,-5.695463e-01,-6.198026e-01
0,4,11,-5.355941e-01,4.517650e-01,7.134755e-01
0,4,12,-4.912651e-01,5.735648e-01,6.555014e-01
0,4,13,-6.776371e-01,4.823544e-01,5.551055e-01
0,4,14,6.256374e-01,-4.997050e-01,-5.990599e-01
0,4,15,5.740164e-01,-4.755073e-01,-6.666318e-01
0,4,16,8.068200e-01,-4.406306e-01,-3.935557e-01
0,4,17,-5.131175e-01,5.927343e-01,6.207870e-01
0,4,18,-5.067458e-01,5.988687e-01,6.201330e-01
0,4,19,6.070775e-01,-5.852581e-01,-5.375220e-01
0,4,20,-5.472911e-01,4.197331e-01,7.240832e-01
0,4,21,-7.437683e-01,4.549855e-01,4.896907e-01
0,4,22,5.665609e-01,-5.798945e-01,-5.854324e-01
0,4,23,4.657321e-01,-3.210265e-01,-8.246427e-01
0,4,24,5.054413e-01,-6.661620e-01,-5.484134e-01
0,4,25,-3.083906e-01,7.995029e-01,5.154515e-01
0,4,26,5.489452e-01,-5.744542e-01,-6.071750e-01
0,4,27,5.346427e-01,-4.259952e-01,-7.298529e-01
0,4,28,-4.189276e-01,5.186396e-01,7.453272e-01
