i,j,k,nx,ny,nz 
0,0,0,5.760805e-01,-5.388272e-01,-6.146515e-01
0,0,1,5.428947e-01,-6.564797e-01,-5.237363e-01
0,0,2,6.840314e-01,-5.573049e-01,-4.706508e-01
0,0,3,5.513842e-01,-3.936646e-01,-7.355295e-01
0,0,4,6.800439e-01,-5.306000e-01,-5.059683e-01
0,0,5,8.642921e-01,-1.748356e-01,-4.716266e-01
0,0,6,-3.340459e-01,7.160086e-01,6.129805e-01
0,0,7,6.180576e-01,-6.528354e-01,-4.379621e-01
0,0,8,6.103663e-01,-6.328286e-01,-4.764251e-01
0,0,9,-7.325549e-01,4.630667e-01,4.989315e-01
0,0,10,-7.692074e-01,2.009326e-01,6.065855e-01
0,0,11,-7.417450e-01,3.575200e-01,5.674449e-01
0,0,12,6.785191e-01,-6.404995e-01,-3.596834e-01
0,0,13,5.407403e-01,-6.935107e-01,-4.760703e-01
0,0,14,-5.186518e-01,5.347376e-01,6.671252e-01
0,0,15,-3.690863e-01,8.519052e-01,3.715277e-01
0,0,16,5.958610e-01,-5.763500e-01,-5.592588e-01
0,0,17,5.748569e-01,-6.923534e-01,-4.361036e-01
0,0,18,-6.075196e-01,4.304639e-01,6.675483e-01
0,0,19,-4.758104e-01,5.998291e-01,6.432803e-01
0,0,20,7.970493e-01,-5.109682e-01,-3.219066e-01
0,0,21,4.629991e-01,-8.052976e-01,-3.703075e-01
0,0,22,-4.914506e-01,5.243073e-01,6.953978e-01
0,0,23,3.924725e-01,-6.895379e-01,-6.086894e-01
0,0,24,-2.275346e-01,7.723896e-01,5.929943e-01
0,0,25,6.049149e-01,-5.616483e-01,-5.644724e-01
0,0,26,-6.446095e-01,4.821737e-01,5.932851e-01
0,0,27,6.803438e-01,-6.054674e-01,-4.129668e-01
0,0,28,-6.343234e-01,6.643485e-01,3.953162e-01
0,0,29,7.415552e-01,-4.666111e-01,-4.820477e-01
0,0,30,5.075725e-01,-6.009458e-01,-6.174417e-01
0,0,31,5.390136e-01,-5.074855e-01,-6.722521e-01
0,0,32,-7.276805e-01,4.042066e-01,5.541644e-01
0,0,33,-5.096385e-01,6.764721e-01,5.316522e-01
0,0,34,5.373497e-01,-5.220438e-01,-6.623637e-01
0,0,35,6.246201e-01,-5.961480e-01,-5.044375e-01
0,0,36,-7.530751e-01,6.015566e-01,2.664725e-01
0,0,37,-1.045986e-01,-9.122768e-01,-3.959926e-01
0,0,38,-4.548495e-01,6.135758e-01,6.454740e-01
0,0,39,3.843983e-01,-5.294303e-01,-7.562681e-01
0,1,0,5.710170e-01,-3.950857e-01,-7.196158e-01
0,1,1,-3.785553e-01,6.285104e-01,6.794635e-01
0,1,2,-7.084238e-01,5.736539e-01,4.111653e-01
0,1,3,-4.140526e-01,7.351333e-01,5.367863e-01
0,1,4,8.787923e-01,-2.352369e-01,-4.151960e-01
0,1,5,-6.807404e-01,4.054381e-01,6.100921e-01
0,1,6,5.015974e-01,-2.739900e-01,-8.205666e-01
0,1,7,2.963441e-01,-6.444813e-01,-7.048574e-01
0,1,8,-5.189915e-01,7.093205e-01,4.769824e-01
0,1,9,-5.952514e-01,5.516623e-01,5.842469e-01
0,1,10,2.769918e-01,-6.204781e-01,-7.336773e-01
0,1,11,4.337330e-01,-4.192971e-01,-7.975372e-01
0,1,12,4.405752e-01,-6.148260e-01,-6.541273e-01
0,1,13,-5.516352e-01,6.237800e-01,5.537121e-01
0,1,14,-4.840798e-01,6.504354e-01,5.853209e-01
0,1,15,6.961031e-01,-5.251075e-01,-4.895944e-01
0,1,16,5.834026e-01,-5.913671e-01,-5.567103e-01
0,1,17,-4.809807e-01,4.970226e-01,7.222369e-01
0,1,18,6.684831e-01,-6.588139e-01,-3.451009e-01
0,1,19,7.074752e-01,-6.145167e-01,-3.490673e-01
0,1,20,6.933419e-01,-6.847502e-01,-2.244863e-01
0,1,21,4.983769e-01,-8.665376e-01,-2.707521e-02
0,1,22,-5.776666e-01,8.090336e-01,1.084708e-01
0,1,23,3.224810e-01,-4.898957e-01,-8.099433e-01
0,1,24,2.831464e-01,-5.713691e-01,-7.703022e-01
0,1,25,6.239363e-01,-6.096509e-01,-4.889063e-01
0,1,26,-7.038877e-01,4.477857e-01,5.513892e-01
0,1,27,4.163204e-01,-7.100148e-01,-5.679404e-01
0,1,28,-3.219512e-01,6.349943e-01,7.022319e-01
0,1,29,-4.704608e-01,4.420365e-01,7.637214e-01
0,1,30,3.912193e-01,-4.637303e-01,-7.949224e-01
0,1,31,-6.238952e-01,5.648652e-01,5.400760e-01
0,1,32,-5.044139e-01,5.761257e-01,6.431530e-01
0,1,33,-7.048371e-01,4.846865e-01,5.179611e-01
0,1,34,-6.659477e-01,2.686300e-01,6.959537e-01
0,1,35,6.458015e-01,-6.270025e-01,-4.356698e-01
0,1,36,6.303910e-01,-6.656108e-01,-3.994615e-01
0,1,37,-5.021598e-01,7.234483e-01,4.737702e-01
0,1,38,-5.474927e-01,6.488036e-01,5.284938e-01
0,1,39,6.089651e-01,-3.860848e-01,-6.928925e-01
0,2,0,4.942744e-01,-8.051210e-01,-3.278308e-01
0,2,1,-5.134343e-01,4.773073e-01,7.131360e-01
0,2,2,5.206442e-01,-2.709981e-01,-8.096232e-01
0,2,3,-6.161645e-01,5.852108e-01,5.271335e-01
0,2,4,8.605577e-01,-3.213049e-01,-3.952260e-01
0,2,5,6.751955e-01,-4.674063e-01,-5.706509e-01
0,2,6,-5.748603e-01,5.425170e-01,6.125446e-01
0,2,7,-5.447620e-01,4.418112e-01,7.127673e-01
0,2,8,3.131398e-01,-6.943041e-01,-6.479855e-01
0,2,9,4.433173e-01,-6.185156e-01,-6.487744e-01
0,2,10,-4.616347e-01,6.609836e-01,5.916030e-01
0,2,11,6.382564e-01,-4.600368e-01,-6.172478e-01
0,2,12,-4.408216e-01,6.738981e-01,5.929061e-01
0,2,13,4.471795e-01,-7.232477e-01,-5.262540e-01
0,2,14,-7.124775e-01,6.892171e-01,1.317409e-01
0,2,15,6.927099e-01,-5.266721e-01,-4.927165e-01
0,2,16,-6.027516e-01,3.722355e-01,7.057842e-01
0,2,17,5.499991e-01,-2.462509e-01,-7.980360e-01
0,2,18,6.031773e-01,-4.386798e-01,-6.661361e-01
0,2,19,-6.936604e-01,4.005262e-01,5.986768e-01
0,2,20,-8.839071e-01,4.007276e-01,2.410925e-01
0,2,21,-4.311737e-01,7.095877e-01,5.572922e-01
0,2,22,5.681301e-01,-7.452031e-01,-3.491424e-01
0,2,23,-5.595375e-01,5.698819e-01,6.017910e-01
0,2,24,-1.583984e-01,6.462187e-01,7.465329e-01
0,2,25,3.556241e-01,-7.587808e-01,-5.456951e-01
0,2,26,6.765583e-01,-6.106360e-01,-4.115732e-01
0,2,27,4.763477e-01,-6.537792e-01,-5.879334e-01
0,2,28,2.569798e-01,-7.069018e-01,-6.589774e-01
0,2,29,3.829719e-01,-6.288224e-01,-6.766942e-01
0,2,30,-4.705054e-01,5.267053e-01,7.079592e-01
0,2,31,-4.577911e-01,6.674582e-01,5.873047e-01
0,2,32,-4.827312e-01,3.297824e-01,8.113040e-01
0,2,33,-7.639174e-01,5.308907e-01,3.668587e-01
0,2,34,5.231039e-01,-6.586600e-01,-5.408598e-01
0,2,35,-2.067352e-01,7.924425e-01,5.738428e-01
0,2,36,4.434829e-01,-7.539033e-01,-4.847193e-01
0,2,37,-5.293443e-01,5.301402e-01,6.623790e-01
0,2,38,-5.279885e-01,6.970982e-01,4.850590e-01
0,2,39,7.132558e-01,-2.689958e-01,-6.472306e-01
0,3,0,7.230474e-01,-4.956600e-01,-4.811691e-01
