i,j,k,nx,ny,nz 
0,0,0,8.715157e-01,3.514515e-01,3.419682e-01
0,0,1,-7.134573e-01,-6.808562e-01,-1.655703e-01
0,0,2,-8.421809e-01,-1.699909e-01,-5.116976e-01
0,0,3,5.216877e-01,8.434363e-01,1.282858e-01
0,0,4,5.015310e-01,-5.393034e-01,-6.764750e-01
0,0,5,8.524131e-01,2.206789e-01,4.740176e-01
0,0,6,-6.458284e-01,-3.318831e-01,6.875750e-01
0,0,7,4.163453e-01,-3.399908e-01,8.432454e-01
0,0,8,-3.724936e-01,7.459083e-01,5.521497e-01
0,0,9,-4.304757e-01,7.477959e-01,5.054622e-01
0,0,10,-5.986089e-01,2.978829e-01,7.435948e-01
0,0,11,-6.543657e-01,-2.305253e-01,-7.201830e-01
0,0,12,-5.255571e-01,5.284702e-01,-6.667150e-01
0,0,13,-2.570568e-01,-7.558990e-01,6.021117e-01
0,0,14,1.344810e-01,9.905125e-01,2.828072e-02
0,0,15,-6.935121e-01,1.019145e-01,-7.132001e-01
0,0,16,4.644104e-01,-1.148434e-01,-8.781423e-01
0,0,17,4.647034e-01,-7.899405e-01,-4.000560e-01
0,0,18,-5.044584e-02,9.608350e-01,-2.724909e-01
0,0,19,8.901554e-01,2.976823e-01,3.449762e-01
0,0,20,-5.746511e-01,5.142982e-01,6.366110e-01
0,0,21,4.487442e-01,4.522221e-01,-7.707942e-01
0,0,22,-4.324135e-01,-6.364161e-01,6.387434e-01
0,0,23,3.055023e-01,9.158729e-01,2.604711e-01
0,0,24,5.202191e-01,6.344781e-01,5.716726e-01
0,0,25,-5.745624e-01,6.617554e-01,-4.816200e-01
0,0,26,-5.971255e-01,-8.002196e-01,5.558562e-02
0,0,27,-3.857083e-01,7.295910e-01,-5.647354e-01
0,0,28,3.225784e-01,9.220157e-01,-2.140800e-01
0,0,29,-4.705333e-01,-6.130876e-01,-6.346038e-01
0,0,30,4.397707e-01,-6.448453e-01,6.251209e-01
0,0,31,-4.745375e-01,-8.637746e-01,1.694331e-01
0,0,32,-7.561320e-01,-3.642321e-01,-5.436906e-01
0,0,33,1.661775e-01,-4.597581e-01,8.723575e-01
0,0,34,7.075877e-01,5.492420e-01,-4.445818e-01
0,0,35,-6.500176e-01,-7.256217e-01,-2.257216e-01
0,0,36,-6.720406e-01,-5.899181e-01,4.476138e-01
0,0,37,2.984273e-01,-7.865410e-02,-9.511859e-01
0,0,38,6.725693e-02,-7.600662e-01,-6.463559e-01
0,0,39,-4.505617e-01,-7.091760e-01,-5.422763e-01
0,1,0,9.591808e-01,2.673685e-01,-9.212073e-02
0,1,1,-6.018373e-01,-4.919641e-01,-6.290971e-01
0,1,2,7.223679e-01,-6.732685e-01,1.577789e-01
0,1,3,-9.074509e-01,4.823109e-02,-4.173807e-01
0,1,4,-8.835983e-01,-1.029246e-01,-4.567937e-01
0,1,5,-6.317116e-01,-6.266818e-01,4.563008e-01
0,1,6,5.756676e-01,4.707763e-01,-6.685630e-01
0,1,7,9.114806e-02,5.485746e-01,8.311185e-01
