i,j,k,nx,ny,nz 
0,0,0,-4.865242e-01,6.830814e-01,5.446963e-01
0,0,1,-2.685336e-01,7.887306e-01,5.529862e-01
0,0,2,-5.056135e-01,7.002979e-01,5.039225e-01
0,0,3,-5.274583e-01,6.075014e-01,5.939106e-01
0,0,4,6.361556e-01,-7.044416e-01,-3.147509e-01
0,0,5,9.069480e-01,-1.849142e-01,-3.784864e-01
0,0,6,-6.461813e-01,5.996865e-01,4.720444e-01
0,0,7,6.764069e-01,-2.492661e-01,-6.930657e-01
0,0,8,6.724016e-01,-3.158034e-01,-6.694358e-01
0,0,9,-6.170625e-01,2.087377e-01,7.587242e-01
0,0,10,-4.669372e-01,3.527614e-01,8.108817e-01
0,0,11,6.770385e-01,-3.590076e-01,-6.424425e-01
0,0,12,-2.789379e-01,7.701370e-01,5.736572e-01
0,0,13,-4.857422e-01,7.528906e-01,4.440837e-01
0,0,14,7.685332e-01,-4.378244e-01,-4.665475e-01
0,0,15,-7.691812e-01,4.997437e-01,3.982668e-01
0,0,16,7.859151e-01,-5.023951e-01,-3.604674e-01
0,0,17,-6.946213e-01,4.808149e-01,5.350872e-01
0,0,18,4.881952e-01,-5.321819e-01,-6.916992e-01
0,0,19,-6.102837e-01,5.060998e-01,6.094397e-01
0,0,20,-7.299497e-01,2.837309e-01,6.218282e-01
0,0,21,-4.817453e-01,7.039805e-01,5.218552e-01
0,0,22,-5.568251e-01,5.887644e-01,5.859200e-01
0,0,23,-5.336317e-01,6.791455e-01,5.039827e-01
0,0,24,1.572159e-01,-9.326499e-01,-3.247266e-01
0,0,25,-3.773149e-01,6.108195e-01,6.960840e-01
0,0,26,6.952492e-01,-2.134893e-01,-6.863315e-01
0,0,27,-5.004976e-01,2.276942e-01,8.352589e-01
0,0,28,6.119255e-01,-2.918782e-01,-7.350880e-01
0,0,29,4.892949e-01,-6.496807e-01,-5.818122e-01
0,0,30,6.511245e-01,-4.680457e-01,-5.974698e-01
0,0,31,-6.771764e-01,6.890590e-01,2.581275e-01
0,0,32,5.270096e-01,-7.202981e-01,-4.510338e-01
0,0,33,-3.816807e-01,6.318892e-01,6.745635e-01
0,0,34,6.305776e-01,-5.327588e-01,-5.643934e-01
0,0,35,3.917005e-01,-6.609152e-01,-6.401265e-01
0,0,36,7.152299e-01,-1.771163e-01,-6.760740e-01
0,0,37,5.248751e-01,-6.304143e-01,-5.719125e-01
0,0,38,-8.260299e-01,2.163588e-01,5.204455e-01
0,0,39,8.352013e-01,-4.755405e-01,-2.762247e-01
0,1,0,6.160840e-01,-5.724125e-01,-5.410955e-01
0,1,1,-4.302576e-01,9.020974e-01,3.314823e-02
0,1,2,-7.518225e-01,2.432430e-01,6.128587e-01
0,1,3,7.657900e-01,-3.047025e-01,-5.663233e-01
0,1,4,6.582871e-01,-5.076409e-01,-5.558406e-01
0,1,5,7.151014e-01,-5.620751e-01,-4.155738e-01
0,1,6,-6.891098e-01,6.470303e-01,3.263119e-01
0,1,7,4.251939e-01,-7.906051e-01,-4.406287e-01
0,1,8,4.592795e-01,-7.376569e-01,-4.948986e-01
0,1,9,6.633525e-01,-5.072209e-01,-5.501731e-01
0,1,10,5.382345e-01,-5.974270e-01,-5.944616e-01
0,1,11,-5.152921e-01,4.434421e-01,7.333711e-01
0,1,12,3.863140e-01,-6.304340e-01,-6.732863e-01
0,1,13,-6.397886e-01,3.971380e-01,6.579908e-01
0,1,14,-8.346663e-01,2.854992e-01,4.709802e-01
0,1,15,5.002087e-01,-7.072738e-01,-4.995548e-01
0,1,16,-6.481740e-01,4.306516e-01,6.280204e-01
0,1,17,5.831208e-01,-6.742224e-01,-4.532044e-01
0,1,18,4.486578e-01,-5.649836e-01,-6.924592e-01
0,1,19,6.153251e-01,-2.705275e-01,-7.403985e-01
0,1,20,-4.992260e-01,4.961689e-01,7.103448e-01
0,1,21,-5.492632e-01,6.497205e-01,5.255219e-01
0,1,22,5.064572e-01,-8.078914e-01,-3.013512e-01
0,1,23,-6.199875e-01,4.880926e-01,6.143136e-01
0,1,24,-5.980401e-01,6.364956e-01,4.870538e-01
0,1,25,-4.842238e-01,6.826015e-01,5.473413e-01
0,1,26,8.197196e-01,-1.941306e-01,-5.388627e-01
0,1,27,-3.025442e-01,5.646022e-01,7.679137e-01
0,1,28,6.065960e-01,-4.289288e-01,-6.693739e-01
0,1,29,-6.615655e-01,4.207376e-01,6.207342e-01
0,1,30,-6.933278e-01,5.045927e-01,5.144733e-01
0,1,31,-7.358456e-01,6.748771e-01,5.542792e-02
0,1,32,6.796825e-01,-6.791084e-01,-2.772067e-01
0,1,33,5.967634e-01,-5.622256e-01,-5.725170e-01
0,1,34,6.215032e-01,-5.661543e-01,-5.414823e-01
0,1,35,2.390143e-01,-6.996722e-01,-6.732986e-01
0,1,36,-6.768904e-01,7.016502e-01,2.225003e-01
0,1,37,1.759488e-01,-6.954551e-01,-6.966952e-01
0,1,38,-6.943715e-01,3.152928e-01,6.468683e-01
0,1,39,-6.350549e-01,5.936810e-01,4.942147e-01
0,2,0,-3.528894e-01,5.379597e-01,7.655511e-01
0,2,1,-7.509612e-01,4.743291e-01,4.594227e-01
0,2,2,-6.603428e-01,5.436085e-01,5.181092e-01
0,2,3,2.754522e-01,9.340994e-01,-2.271221e-01
0,2,4,1.493944e-01,-7.479700e-01,-6.467010e-01
0,2,5,5.868879e-01,-5.520388e-01,-5.922970e-01
0,2,6,-5.362134e-01,6.145360e-01,5.786369e-01
0,2,7,4.215543e-01,-3.483985e-01,-8.372040e-01
0,2,8,4.593082e-01,-3.918165e-01,-7.971924e-01
0,2,9,6.007967e-01,-5.979887e-01,-5.305212e-01
0,2,10,4.168765e-01,-7.122741e-01,-5.646943e-01
0,2,11,6.650952e-01,-6.167274e-01,-4.210650e-01
0,2,12,-6.710773e-01,5.160158e-01,5.323372e-01
0,2,13,8.105806e-01,-3.931378e-01,-4.340528e-01
0,2,14,-8.233248e-01,3.253050e-01,4.650946e-01
0,2,15,6.843466e-01,-7.221137e-01,-1.011015e-01
0,2,16,-6.877994e-01,6.275109e-01,3.649137e-01
0,2,17,2.992164e-01,-7.107422e-01,-6.366436e-01
0,2,18,-3.600388e-01,6.546613e-01,6.646734e-01
0,2,19,-7.028687e-01,4.090107e-01,5.819672e-01
0,2,20,-4.805478e-01,5.156640e-01,7.093409e-01
0,2,21,5.485411e-01,-5.842966e-01,-5.980804e-01
0,2,22,-5.125904e-01,5.517404e-01,6.579009e-01
0,2,23,4.350156e-01,-4.266436e-01,-7.929291e-01
0,2,24,4.961413e-01,-6.031882e-01,-6.245061e-01
0,2,25,-3.946478e-01,4.333829e-01,8.102051e-01
0,2,26,6.680217e-01,-4.752942e-01,-5.725753e-01
0,2,27,-5.312870e-01,6.423093e-01,5.524246e-01
0,2,28,5.958156e-01,-2.474736e-01,-7.640423e-01
0,2,29,-4.050216e-01,3.712375e-01,8.355479e-01
0,2,30,6.437555e-01,-3.582544e-01,-6.761897e-01
0,2,31,6.471077e-01,-4.767966e-01,-5.949089e-01
0,2,32,-6.330056e-01,5.175984e-01,5.756698e-01
0,2,33,-4.593960e-01,7.243081e-01,5.141333e-01
0,2,34,5.203307e-01,-7.796969e-01,-3.483229e-01
0,2,35,-3.043055e-01,-6.548708e-01,-6.917676e-01
0,2,36,-8.428305e-02,8.511283e-01,5.181477e-01
0,2,37,2.818790e-01,-6.731749e-01,-6.836518e-01
0,2,38,7.085824e-01,-5.446012e-01,-4.486875e-01
0,2,39,6.304274e-01,-6.596129e-01,-4.092335e-01
0,3,0,-3.607590e-01,6.174042e-01,6.990458e-01
0,3,1,-5.954027e-01,1.093027e-01,7.959577e-01
0,3,2,-3.701617e-01,8.364694e-01,4.041030e-01
0,3,3,-5.023019e-01,5.781565e-01,6.429836e-01
0,3,4,-7.948212e-01,2.985644e-01,5.283168e-01
0,3,5,3.979721e-01,-8.076162e-01,-4.351715e-01
0,3,6,3.035954e-01,-7.106502e-01,-6.346701e-01
0,3,7,7.909379e-01,-4.283991e-01,-4.369112e-01
0,3,8,5.957306e-01,-2.755256e-01,-7.544473e-01
0,3,9,-4.873147e-01,-1.558618e-01,8.592040e-01
0,3,10,-5.669531e-01,5.994877e-01,5.649590e-01
0,3,11,-5.856124e-01,5.112888e-01,6.290007e-01
0,3,12,8.605618e-01,-1.457534e-01,-4.880464e-01
0,3,13,-6.504595e-01,7.392706e-01,1.743026e-01
0,3,14,-4.016128e-01,6.856055e-01,6.071674e-01
0,3,15,6.065156e-01,-7.742364e-01,-1.808227e-01
0,3,16,7.751928e-01,-6.079933e-01,-1.715234e-01
0,3,17,-3.811803e-01,7.211556e-01,5.784775e-01
0,3,18,3.814618e-01,-5.144750e-01,-7.679859e-01
0,3,19,-6.726798e-01,5.479677e-01,4.972257e-01
0,3,20,6.906900e-01,-3.668554e-01,-6.231889e-01
0,3,21,-4.762543e-01,6.647542e-01,5.755724e-01
0,3,22,-5.645164e-01,6.016153e-01,5.651375e-01
0,3,23,3.469783e-01,-2.749134e-01,-8.966765e-01
0,3,24,4.687946e-01,-5.774896e-01,-6.683842e-01
0,3,25,-7.135092e-01,6.315432e-01,3.034102e-01
0,3,26,7.631498e-01,-3.136539e-01,-5.649988e-01
0,3,27,-5.729523e-01,5.546238e-01,6.034220e-01
0,3,28,-7.032633e-01,3.332099e-01,6.280063e-01
0,3,29,-7.360851e-01,4.262212e-01,5.258462e-01
0,3,30,8.116946e-01,-3.106984e-01,-4.945891e-01
0,3,31,4.715922e-01,-7.446353e-01,-4.723549e-01
0,3,32,-5.882802e-01,6.494552e-01,4.818032e-01
0,3,33,-2.586363e-01,7.252100e-01,6.381048e-01
0,3,34,-6.974779e-01,3.153492e-01,6.434901e-01
0,3,35,-4.999061e-01,4.081048e-01,7.639007e-01
0,3,36,-5.280310e-01,5.261500e-01,6.665954e-01
0,3,37,3.339800e-01,-6.232129e-01,-7.071514e-01
0,3,38,5.667520e-01,-4.090329e-01,-7.151813e-01
0,3,39,5.286764e-01,-4.651586e-01,-7.100203e-01
0,4,0,-6.705623e-01,3.770073e-01,6.389145e-01
0,4,1,-6.402938e-01,4.020127e-01,6.545301e-01
0,4,2,-5.009756e-01,2.499211e-01,8.285909e-01
0,4,3,5.360148e-01,-6.817511e-01,-4.978991e-01
0,4,4,4.851862e-01,-4.228001e-01,-7.653982e-01
0,4,5,-3.055670e-01,7.038939e-01,6.412193e-01
0,4,6,5.605324e-01,-3.907274e-01,-7.301613e-01
0,4,7,6.514681e-01,-6.233558e-01,-4.324544e-01
0,4,8,-8.546400e-01,2.200425e-01,4.702890e-01
0,4,9,-4.168123e-01,7.730521e-01,4.781818e-01
0,4,10,-6.363226e-01,2.271341e-01,7.372270e-01
0,4,11,-5.632261e-01,1.742717e-01,8.077164e-01
0,4,12,6.937438e-01,-3.028316e-01,-6.534620e-01
0,4,13,-4.648102e-01,3.943150e-01,7.927592e-01
0,4,14,6.607205e-01,-6.069779e-01,-4.416178e-01
0,4,15,7.742385e-01,-6.005801e-01,-1.996456e-01
0,4,16,7.123213e-01,-4.656173e-01,-5.251656e-01
0,4,17,5.571558e-01,-5.803474e-01,-5.939480e-01
0,4,18,-6.098961e-01,5.159607e-01,6.015075e-01
0,4,19,-2.111982e-01,3.264276e-01,9.213253e-01
0,4,20,3.001121e-01,-1.640964e-01,-9.396835e-01
0,4,21,-4.403862e-01,5.585271e-01,7.029277e-01
0,4,22,-7.955974e-01,3.556259e-01,4.904640e-01
0,4,23,-4.913275e-01,2.444140e-01,8.359779e-01
0,4,24,4.144936e-01,-5.851528e-01,-6.969873e-01
0,4,25,7.816539e-01,-5.627809e-01,-2.688771e-01
0,4,26,-6.247800e-01,5.754040e-01,5.277881e-01
0,4,27,2.403697e-01,-5.882594e-01,-7.721225e-01
0,4,28,-4.350148e-01,5.267493e-02,8.988812e-01
0,4,29,-7.450965e-01,5.010192e-01,4.402396e-01
0,4,30,5.888173e-01,-7.894995e-01,-1.731609e-01
0,4,31,3.134132e-01,-8.436040e-01,-4.360096e-01
0,4,32,-7.137285e-01,6.657485e-01,2.176479e-01
0,4,33,-4.967730e-01,4.959244e-01,7.122328e-01
0,4,34,3.892092e-01,-5.608713e-01,-7.307117e-01
0,4,35,-5.798650e-01,5.869236e-01,5.650462e-01
0,4,36,6.703538e-01,-1.492539e-01,-7.268762e-01
0,4,37,6.037283e-01,-3.566780e-01,-7.129467e-01
0,4,38,3.803296e-01,-7.374754e-01,-5.581035e-01
0,4,39,5.465450e-01,-5.286364e-01,-6.494861e-01
0,5,0,2.695188e-01,-5.250281e-01,-8.072826e-01
0,5,1,5.934711e-01,-4.632461e-01,-6.581756e-01
0,5,2,-5.142783e-01,4.525185e-01,7.285224e-01
0,5,3,3.176202e-01,-4.595973e-01,-8.293900e-01
0,5,4,-6.092603e-01,4.266545e-01,6.684070e-01
0,5,5,3.949731e-01,-4.431910e-01,-8.047223e-01
0,5,6,6.441089e-01,-6.780781e-01,-3.540251e-01
0,5,7,8.202930e-01,-3.864942e-01,-4.215942e-01
0,5,8,-5.509230e-01,7.096608e-01,4.391643e-01
0,5,9,4.152466e-01,-6.713203e-01,-6.139212e-01
0,5,10,1.496140e-01,-6.490483e-01,-7.458900e-01
0,5,11,-5.007050e-01,3.488080e-01,7.922294e-01
0,5,12,6.961724e-01,-1.082986e-01,-7.096587e-01
0,5,13,-6.691715e-01,3.813623e-01,6.377871e-01
0,5,14,-5.585764e-01,6.128237e-01,5.589629e-01
0,5,15,-6.310739e-01,6.963876e-01,3.417455e-01
0,5,16,-5.879119e-01,5.890357e-01,5.544335e-01
0,5,17,7.092667e-01,-4.819196e-01,-5.144845e-01
0,5,18,6.010787e-01,-5.019056e-01,-6.219286e-01
0,5,19,6.853138e-01,-4.720571e-01,-5.545333e-01
0,5,20,-5.079837e-01,8.283701e-01,2.361263e-01
0,5,21,5.992654e-01,-6.543538e-01,-4.611964e-01
