i,j,k,nx,ny,nz 
0,0,0,-4.548070e-01,-7.822271e-01,4.257597e-01
0,0,1,8.025057e-01,-1.142534e-01,-5.856029e-01
0,0,2,-6.648028e-01,1.803984e-01,7.249095e-01
0,0,3,-2.378611e-01,9.009634e-01,-3.628871e-01
0,0,4,-5.010220e-01,-2.048789e-01,8.408339e-01
0,0,5,6.769358e-01,-2.398365e-01,-6.958709e-01
0,0,6,-5.338594e-01,5.201787e-01,6.666395e-01
0,0,7,-9.109266e-01,2.911064e-01,2.923521e-01
0,0,8,-1.206767e-01,3.881469e-01,9.136625e-01
0,0,9,-6.523422e-01,5.801716e-01,4.876993e-01
0,0,10,-6.896253e-02,-9.908360e-01,-1.161387e-01
0,0,11,4.903983e-01,8.180851e-01,3.004103e-01
0,0,12,-8.338934e-02,-6.457357e-01,-7.589938e-01
0,0,13,5.298972e-01,-7.703171e-01,3.547119e-01
0,0,14,3.024339e-01,-3.603786e-01,-8.824177e-01
0,0,15,7.674847e-02,-8.775492e-01,-4.733044e-01
0,0,16,5.646007e-01,-7.167726e-01,-4.092226e-01
0,0,17,-8.067084e-01,7.807346e-02,5.857697e-01
0,0,18,4.545526e-01,2.095338e-01,-8.657237e-01
0,0,19,-9.865803e-01,-9.558439e-02,1.323741e-01
0,0,20,7.877172e-01,-8.652314e-02,-6.099306e-01
0,0,21,-6.982981e-01,6.443836e-01,3.116882e-01
0,0,22,5.636504e-01,-3.437448e-01,-7.510911e-01
0,0,23,-8.895338e-01,-9.735449e-03,4.567657e-01
0,0,24,-7.120535e-01,4.592381e-01,5.311123e-01
0,0,25,6.119786e-01,7.207090e-01,-3.256696e-01
0,0,26,2.847256e-02,-7.745638e-01,6.318546e-01
0,0,27,-1.470060e-01,9.138241e-01,3.785694e-01
0,0,28,9.189493e-01,2.331919e-01,-3.180468e-01
0,0,29,7.484178e-01,-6.602976e-01,-6.227289e-02
0,0,30,-7.246976e-01,6.691985e-01,-1.642765e-01
0,0,31,-6.901117e-01,6.582548e-01,3.007432e-01
0,0,32,5.143511e-01,-7.490301e-01,-4.176085e-01
0,0,33,-6.921369e-01,1.002931e-01,7.147641e-01
0,0,34,-7.566253e-01,2.271455e-01,6.131256e-01
0,0,35,2.082514e-01,-7.614960e-01,-6.138039e-01
0,0,36,7.616088e-02,-8.731189e-01,-4.815214e-01
0,0,37,-3.420968e-01,6.908383e-01,6.369554e-01
0,0,38,5.475645e-01,4.043427e-01,-7.325846e-01
0,0,39,-6.204467e-01,2.609158e-01,-7.395734e-01
0,1,0,-1.998967e-01,5.970133e-01,-7.769276e-01
0,1,1,-2.731611e-02,-7.258478e-01,6.873127e-01
0,1,2,-3.405822e-01,-2.971270e-01,8.920310e-01
0,1,3,4.679377e-01,-3.471182e-01,-8.127382e-01
0,1,4,5.183734e-01,-6.502758e-01,-5.553652e-01
0,1,5,-4.159434e-01,6.862820e-01,5.966642e-01
0,1,6,-6.447964e-01,5.579019e-01,5.224777e-01
0,1,7,5.356924e-01,-7.047516e-01,-4.651439e-01
0,1,8,-3.707998e-01,6.547722e-01,6.586204e-01
0,1,9,-5.954409e-01,7.321042e-01,3.308680e-01
0,1,10,6.705242e-01,6.694940e-01,-3.196485e-01
0,1,11,-6.311895e-01,1.592188e-01,7.591107e-01
0,1,12,-3.001121e-01,7.459668e-01,5.945303e-01
0,1,13,9.888349e-01,-1.025086e-01,1.081550e-01
0,1,14,-3.589915e-01,6.617148e-01,-6.582238e-01
0,1,15,-9.835578e-01,1.420269e-01,-1.115458e-01
0,1,16,5.259848e-01,-5.388421e-01,-6.580191e-01
0,1,17,3.659323e-01,-7.416952e-01,-5.621226e-01
0,1,18,-6.507621e-01,7.577312e-01,4.849844e-02
0,1,19,-9.579313e-01,2.814209e-01,5.630236e-02
0,1,20,6.145786e-01,5.555248e-02,-7.868971e-01
0,1,21,-3.382830e-01,6.521136e-01,6.784633e-01
0,1,22,6.497137e-01,-6.235411e-01,-4.348202e-01
0,1,23,7.143690e-01,-5.952390e-01,-3.679231e-01
0,1,24,5.478168e-01,-5.648367e-01,-6.171355e-01
0,1,25,2.384660e-02,6.667205e-01,7.449262e-01
0,1,26,-9.099141e-01,-7.972307e-02,4.070633e-01
0,1,27,-5.932017e-01,2.967079e-01,7.483824e-01
0,1,28,-2.541193e-01,4.246727e-01,8.689514e-01
0,1,29,8.194596e-01,-4.581549e-01,-3.443546e-01
0,1,30,-2.272649e-01,7.949330e-01,5.625231e-01
0,1,31,1.071914e-01,-9.024734e-01,-4.171952e-01
0,1,32,-7.076937e-01,6.612637e-01,2.487968e-01
0,1,33,-3.853592e-01,6.745125e-01,6.297073e-01
0,1,34,7.891989e-01,9.064800e-02,-6.074110e-01
0,1,35,-7.914389e-01,2.981089e-02,6.105209e-01
0,1,36,-3.213627e-01,5.912631e-01,7.396850e-01
0,1,37,3.567341e-01,-6.576798e-01,-6.634743e-01
0,1,38,-7.243563e-01,-1.456082e-01,6.738740e-01
