i,j,k,nx,ny,nz 
0,0,0,1.421252e-01,-7.491615e-01,-6.469602e-01
0,0,1,-5.360240e-01,7.569184e-01,3.738354e-01
0,0,2,-6.082990e-01,7.618267e-01,2.226936e-01
0,0,3,-2.848370e-01,6.676806e-01,6.878012e-01
0,0,4,-3.402312e-01,6.526534e-01,6.769684e-01
0,0,5,4.402248e-01,-5.935605e-01,-6.737121e-01
0,0,6,-5.758951e-01,3.994174e-01,7.133096e-01
0,0,7,-3.620480e-01,6.308335e-01,6.862728e-01
0,0,8,-5.922602e-01,6.374251e-01,4.928662e-01
0,0,9,5.022395e-01,-3.662148e-01,-7.833532e-01
0,0,10,-6.246867e-01,6.903454e-01,3.649518e-01
0,0,11,4.755372e-01,-6.390260e-01,-6.045744e-01
0,0,12,-6.145475e-01,-7.247687e-02,7.855434e-01
0,0,13,7.047806e-01,-5.591842e-01,-4.365745e-01
0,0,14,-6.454839e-01,5.013755e-01,5.761711e-01
0,0,15,6.528877e-01,-4.489322e-01,-6.100799e-01
0,0,16,4.964865e-01,-8.521211e-01,-1.655014e-01
0,0,17,4.802344e-01,-7.544257e-01,-4.474559e-01
0,0,18,7.546374e-01,-5.683712e-01,-3.278361e-01
0,0,19,-4.196903e-01,5.985704e-01,6.823294e-01
0,0,20,5.604696e-01,-4.002933e-01,-7.250097e-01
0,0,21,7.504612e-01,-6.165017e-01,-2.381880e-01
0,0,22,4.634012e-01,-7.785402e-01,-4.232428e-01
0,0,23,-3.497079e-01,-7.073607e-01,-6.142843e-01
0,0,24,7.649208e-01,-6.233756e-01,-1.621695e-01
0,0,25,-4.258448e-01,5.973780e-01,6.795555e-01
0,0,26,-4.148092e-01,6.969530e-01,5.849699e-01
0,0,27,3.600394e-01,-7.417296e-01,-5.658700e-01
0,0,28,6.693961e-01,-5.251566e-01,-5.254707e-01
0,0,29,-4.448528e-01,6.056056e-01,6.598089e-01
0,0,30,6.096935e-01,-6.909359e-01,-3.884347e-01
0,0,31,-4.811200e-01,7.063225e-01,5.192611e-01
0,0,32,3.139665e-01,-5.255102e-01,-7.907364e-01
0,0,33,-4.175009e-01,5.704409e-01,7.073119e-01
0,0,34,4.472958e-01,-7.722165e-01,-4.512295e-01
0,0,35,5.637500e-01,-7.921258e-01,2.339286e-01
0,0,36,-9.465236e-01,-2.133959e-02,3.219280e-01
0,0,37,4.299871e-01,-4.870825e-01,-7.601722e-01
0,0,38,7.549398e-01,-5.080731e-01,-4.146415e-01
0,0,39,7.177212e-01,-6.954466e-01,3.507674e-02
0,1,0,-2.103773e-01,-9.064341e-01,-3.662221e-01
0,1,1,4.728886e-01,-8.405374e-01,-2.643353e-01
0,1,2,-4.913787e-01,7.294135e-01,4.759233e-01
0,1,3,-7.750430e-01,5.161466e-01,3.645559e-01
0,1,4,-6.245725e-01,6.300449e-01,4.614679e-01
0,1,5,6.187947e-01,-7.831186e-01,6.179275e-02
0,1,6,6.880199e-01,-6.126991e-01,-3.888810e-01
0,1,7,-7.681561e-01,6.383396e-01,-4.958649e-02
0,1,8,-4.579450e-01,3.643076e-01,8.109047e-01
0,1,9,-4.969976e-01,3.180639e-01,8.073591e-01
0,1,10,-6.151478e-01,7.001335e-01,3.625001e-01
0,1,11,3.411145e-01,-6.341383e-01,-6.939089e-01
0,1,12,6.014193e-01,-6.790863e-01,-4.208760e-01
0,1,13,-6.583693e-01,4.551077e-01,5.995222e-01
0,1,14,-6.668764e-01,4.435916e-01,5.987507e-01
0,1,15,3.729177e-01,-8.214505e-01,-4.314527e-01
0,1,16,-4.987220e-01,6.248765e-01,6.006711e-01
0,1,17,-7.546174e-01,4.224790e-01,5.020599e-01
0,1,18,-1.677497e-01,6.884304e-01,7.056370e-01
0,1,19,-4.486806e-01,5.696629e-01,6.886000e-01
0,1,20,-7.057245e-01,4.915659e-01,5.102116e-01
0,1,21,-4.725484e-01,6.222964e-01,6.240555e-01
0,1,22,-5.614159e-01,6.151975e-01,5.534838e-01
0,1,23,6.334491e-01,4.375393e-01,6.382019e-01
0,1,24,-7.991229e-01,4.486750e-01,4.001166e-01
0,1,25,-4.152579e-01,6.115564e-01,6.734684e-01
0,1,26,-1.986991e-01,9.336316e-01,2.980783e-01
0,1,27,6.260722e-01,-4.927901e-01,-6.043108e-01
0,1,28,-4.020782e-01,5.951749e-01,6.957729e-01
0,1,29,5.742908e-01,-5.848732e-01,-5.728118e-01
0,1,30,-5.573859e-01,2.523426e-01,7.909767e-01
0,1,31,5.085230e-01,-6.113593e-01,-6.063366e-01
0,1,32,-6.845292e-01,1.699762e-01,7.088920e-01
0,1,33,-5.652020e-01,4.646846e-01,6.816266e-01
0,1,34,6.950155e-01,-6.700377e-01,-2.607738e-01
0,1,35,5.746479e-01,-5.630497e-01,-5.939317e-01
0,1,36,-8.688831e-01,3.357144e-01,3.637828e-01
0,1,37,7.891455e-01,-5.478436e-01,-2.776990e-01
0,1,38,-6.060454e-01,4.991827e-01,6.192944e-01
0,1,39,-3.166284e-01,5.036362e-01,8.038016e-01
0,2,0,-6.396587e-01,5.907721e-01,4.917571e-01
0,2,1,-6.399139e-01,7.665088e-01,5.453862e-02
0,2,2,-6.012154e-01,5.182297e-01,6.082582e-01
0,2,3,-8.042382e-01,4.104089e-01,4.298435e-01
0,2,4,7.529855e-01,-5.217926e-01,-4.009305e-01
0,2,5,8.164680e-01,-5.005940e-01,-2.877249e-01
0,2,6,-5.583707e-01,4.500419e-01,6.969106e-01
0,2,7,-6.231424e-01,1.452739e-01,7.684979e-01
0,2,8,5.157400e-01,-8.009576e-02,-8.529929e-01
0,2,9,-4.976941e-01,7.229302e-01,4.792415e-01
0,2,10,7.322553e-01,-6.192550e-01,2.834172e-01
0,2,11,5.325926e-01,-7.610115e-01,-3.704141e-01
0,2,12,4.660253e-01,-7.479465e-01,-4.726483e-01
0,2,13,-4.109866e-01,6.405104e-01,6.487191e-01
0,2,14,-6.126495e-01,5.944474e-01,5.208578e-01
0,2,15,6.646031e-01,-7.015491e-01,-2.571605e-01
0,2,16,-3.444033e-01,8.408499e-01,4.175618e-01
0,2,17,1.296707e-01,-7.967011e-01,-5.902990e-01
0,2,18,2.131039e-01,8.883862e-01,4.066407e-01
0,2,19,8.130216e-01,-1.862735e-01,-5.516322e-01
0,2,20,8.754745e-01,-3.929103e-01,-2.813642e-01
0,2,21,-6.807908e-01,5.011217e-01,5.342294e-01
0,2,22,-5.164931e-01,7.046342e-01,4.865445e-01
0,2,23,8.183708e-01,-4.881551e-01,-3.032720e-01
0,2,24,6.959572e-01,-5.492048e-01,-4.626204e-01
0,2,25,7.203244e-01,-3.038797e-01,-6.235302e-01
0,2,26,3.929399e-01,-6.210369e-01,-6.781676e-01
0,2,27,-7.235583e-01,2.853922e-01,6.285019e-01
0,2,28,-5.705152e-01,6.367872e-01,5.186661e-01
0,2,29,-2.099770e-01,6.581286e-01,7.230327e-01
0,2,30,-4.449793e-01,1.260513e-01,8.866253e-01
0,2,31,6.343803e-01,-5.370091e-01,-5.560421e-01
0,2,32,4.909671e-01,-2.481445e-01,-8.350901e-01
0,2,33,-5.543663e-01,8.101381e-01,1.906681e-01
0,2,34,-6.464285e-01,5.279074e-01,5.508574e-01
0,2,35,6.292822e-01,-6.855208e-01,-3.661492e-01
0,2,36,7.586895e-01,-3.269671e-01,-5.634561e-01
0,2,37,5.485172e-01,-4.922942e-01,-6.758516e-01
0,2,38,-3.523116e-01,4.002857e-01,8.459597e-01
0,2,39,-4.155178e-01,6.109397e-01,6.738676e-01
0,3,0,-5.476764e-01,5.776225e-01,6.053122e-01
0,3,1,-3.993272e-01,6.094587e-01,6.849073e-01
0,3,2,-7.227375e-01,5.707897e-01,3.896788e-01
0,3,3,-7.808869e-01,4.262999e-01,4.566005e-01
0,3,4,3.746645e-01,-7.604001e-01,-5.304887e-01
0,3,5,5.538053e-01,-4.482241e-01,-7.017085e-01
0,3,6,6.210776e-01,-6.934118e-01,-3.652980e-01
0,3,7,-8.148388e-01,5.235784e-01,2.488038e-01
0,3,8,-5.195104e-01,7.207224e-01,4.589861e-01
0,3,9,5.625589e-01,-5.351615e-01,-6.301823e-01
0,3,10,4.694255e-01,-7.735671e-01,-4.257156e-01
0,3,11,-7.512131e-01,4.789155e-01,4.542233e-01
