i,j,k,nx,ny,nz 
0,0,0,-6.244258e-01,5.235765e-01,5.796206e-01
0,0,1,-5.511125e-01,5.896641e-01,5.903993e-01
0,0,2,-5.729943e-01,6.272326e-01,5.275005e-01
0,0,3,4.786900e-01,-6.643850e-01,-5.739760e-01
0,0,4,4.181201e-01,-6.749494e-01,-6.079629e-01
0,0,5,-4.358177e-01,5.518465e-01,7.110052e-01
0,0,6,5.170067e-01,-6.156178e-01,-5.947426e-01
0,0,7,4.374031e-01,-7.647737e-01,-4.730747e-01
0,0,8,-5.889735e-01,6.030772e-01,5.379666e-01
0,0,9,3.991825e-01,-6.354605e-01,-6.609412e-01
0,0,10,5.184049e-01,-7.289256e-01,-4.471284e-01
0,0,11,-6.676785e-01,5.988496e-01,4.422495e-01
0,0,12,3.984884e-01,-6.765643e-01,-6.192478e-01
0,0,13,5.262055e-01,-6.368447e-01,-5.635039e-01
0,0,14,-5.953538e-01,6.276810e-01,5.015680e-01
0,0,15,5.769649e-01,-6.731142e-01,-4.626324e-01
0,0,16,-6.441306e-01,5.957597e-01,4.797564e-01
0,0,17,6.308611e-01,-4.718928e-01,-6.158989e-01
0,0,18,-5.603503e-01,5.994490e-01,5.715491e-01
0,0,19,4.126267e-01,-6.352435e-01,-6.528437e-01
0,0,20,-6.683020e-01,5.029862e-01,5.480668e-01
0,0,21,5.654938e-01,-5.767411e-01,-5.895647e-01
0,0,22,5.505814e-01,-5.841665e-01,-5.963301e-01
0,0,23,-7.060229e-01,5.361193e-01,4.627178e-01
0,0,24,6.238936e-01,-5.379043e-01,-5.669354e-01
0,0,25,7.261034e-01,-5.516458e-01,-4.104397e-01
0,0,26,-6.362918e-01,5.819463e-01,5.064300e-01
0,0,27,-6.541194e-01,4.471830e-01,6.100452e-01
0,0,28,6.006788e-01,-5.832344e-01,-5.468296e-01
0,0,29,5.514879e-01,-4.993559e-01,-6.682101e-01
0,0,30,6.545111e-01,-5.995777e-01,-4.605668e-01
0,0,31,3.907805e-01,-6.542624e-01,-6.474807e-01
0,0,32,5.350243e-01,-4.721602e-01,-7.005810e-01
0,0,33,-6.711895e-01,5.301952e-01,5.180711e-01
0,0,34,-7.657915e-01,3.400028e-01,5.458584e-01
0,0,35,-6.059317e-01,5.268392e-01,5.960597e-01
0,0,36,-5.744895e-01,5.825894e-01,5.749360e-01
0,0,37,-5.608025e-01,5.551477e-01,6.142569e-01
0,0,38,-7.102850e-01,5.547589e-01,4.332872e-01
0,0,39,5.572405e-01,-3.800421e-01,-7.382757e-01
0,1,0,4.905295e-01,-6.317254e-01,-6.002531e-01
0,1,1,4.579222e-01,-7.059224e-01,-5.403525e-01
0,1,2,-5.276772e-01,6.768871e-01,5.132062e-01
0,1,3,-4.635798e-01,7.023814e-01,5.401428e-01
0,1,4,5.157615e-01,-7.060313e-01,-4.852937e-01
0,1,5,-4.241313e-01,7.705512e-01,4.757768e-01
0,1,6,7.236481e-01,-5.262192e-01,-4.465723e-01
0,1,7,-5.574407e-01,6.616296e-01,5.015039e-01
0,1,8,-6.252666e-01,5.565184e-01,5.471097e-01
0,1,9,-5.488174e-01,6.075200e-01,5.742116e-01
0,1,10,6.120569e-01,-5.865647e-01,-5.304038e-01
0,1,11,4.739235e-01,-4.695495e-01,-7.449294e-01
0,1,12,-5.697128e-01,6.404906e-01,5.149748e-01
0,1,13,-4.644249e-01,7.501246e-01,4.707681e-01
0,1,14,5.651260e-01,-5.338609e-01,-6.289874e-01
0,1,15,5.952548e-01,-5.709781e-01,-5.653810e-01
0,1,16,-5.216977e-01,5.772890e-01,6.281472e-01
0,1,17,-4.816751e-01,5.392055e-01,6.908303e-01
0,1,18,-4.671513e-01,6.247079e-01,6.257073e-01
0,1,19,4.215102e-01,-6.477052e-01,-6.346709e-01
0,1,20,6.137989e-01,-5.945349e-01,-5.194027e-01
0,1,21,-5.935055e-01,6.245015e-01,5.076899e-01
0,1,22,-6.301710e-01,5.769455e-01,5.196330e-01
0,1,23,-6.051073e-01,6.334047e-01,4.823314e-01
0,1,24,-5.682181e-01,6.085220e-01,5.539217e-01
0,1,25,-7.705418e-01,3.949108e-01,5.003106e-01
0,1,26,-7.435834e-01,3.845595e-01,5.469896e-01
0,1,27,5.744318e-01,-5.521571e-01,-6.042770e-01
0,1,28,6.534790e-01,-5.215057e-01,-5.486319e-01
0,1,29,6.065810e-01,-5.665534e-01,-5.577426e-01
0,1,30,5.587383e-01,-4.445293e-01,-7.001466e-01
0,1,31,-5.241132e-01,5.568278e-01,6.443975e-01
0,1,32,-3.828465e-01,6.320587e-01,6.737435e-01
0,1,33,-5.554413e-01,4.984029e-01,6.656422e-01
0,1,34,-4.497920e-01,5.108967e-01,7.325788e-01
0,1,35,6.749958e-01,-5.787180e-01,-4.576747e-01
0,1,36,-4.419548e-01,6.272007e-01,6.413231e-01
0,1,37,5.186552e-01,-7.614372e-01,-3.888576e-01
0,1,38,-6.129772e-01,5.028661e-01,6.094133e-01
0,1,39,-5.519592e-01,5.782581e-01,6.007983e-01
0,2,0,5.672363e-01,-6.320728e-01,-5.279460e-01
0,2,1,-5.051270e-01,6.412568e-01,5.776127e-01
0,2,2,5.825002e-01,-5.225063e-01,-6.226401e-01
0,2,3,-4.022672e-01,7.857972e-01,4.697913e-01
0,2,4,4.805628e-01,-6.689542e-01,-5.670623e-01
0,2,5,4.673470e-01,-4.696929e-01,-7.489829e-01
0,2,6,-7.066045e-01,4.731447e-01,5.261598e-01
0,2,7,7.157719e-01,-4.746286e-01,-5.122482e-01
0,2,8,-5.782490e-01,5.959534e-01,5.571962e-01
0,2,9,-6.370541e-01,5.082314e-01,5.795367e-01
0,2,10,-7.426200e-01,5.369043e-01,4.003115e-01
0,2,11,4.532300e-01,-7.086764e-01,-5.407035e-01
0,2,12,-4.576136e-01,7.109520e-01,5.339823e-01
0,2,13,5.603379e-01,-6.535184e-01,-5.088567e-01
0,2,14,4.597096e-01,-4.970359e-01,-7.359500e-01
0,2,15,4.372446e-01,-6.256629e-01,-6.460365e-01
0,2,16,4.567598e-01,-6.321718e-01,-6.258828e-01
0,2,17,6.602649e-01,-5.186075e-01,-5.432279e-01
0,2,18,-6.244345e-01,5.137608e-01,5.883293e-01
0,2,19,5.675721e-01,-4.010454e-01,-7.190441e-01
0,2,20,-5.896627e-01,5.839413e-01,5.579521e-01
