i,j,k,nx,ny,nz 
0,0,0,5.967080e-01,-6.759052e-01,-4.325410e-01
0,0,1,-4.808222e-01,6.024412e-01,6.370829e-01
0,0,2,5.809113e-01,-4.395250e-01,-6.850984e-01
0,0,3,7.619267e-01,-5.439640e-01,-3.515266e-01
0,0,4,5.764086e-01,-6.136343e-01,-5.396351e-01
0,0,5,-6.751531e-01,5.605151e-01,4.795738e-01
0,0,6,5.905781e-01,-6.170590e-01,-5.200536e-01
0,0,7,6.120242e-01,-6.126974e-01,-5.000283e-01
0,0,8,-5.301076e-01,6.415531e-01,5.544326e-01
0,0,9,-7.764616e-01,5.201323e-01,3.557665e-01
0,0,10,-6.672304e-01,3.625716e-01,6.506500e-01
0,0,11,4.092515e-01,-3.285695e-01,-8.512082e-01
0,0,12,-2.685977e-01,6.880077e-01,6.741667e-01
0,0,13,-7.356283e-01,3.994635e-01,5.470649e-01
0,0,14,5.143247e-01,-4.923535e-02,-8.561810e-01
0,0,15,7.988540e-01,-5.004119e-01,-3.337966e-01
0,0,16,-7.595047e-01,3.069647e-01,5.735201e-01
0,0,17,3.954958e-01,-6.177788e-01,-6.796561e-01
0,0,18,5.683950e-01,-7.998143e-01,-1.929356e-01
0,0,19,6.320962e-01,-6.256949e-01,-4.571218e-01
0,0,20,4.609982e-01,-4.978776e-01,-7.345737e-01
0,0,21,-5.437470e-01,6.041597e-01,5.825206e-01
0,0,22,5.491075e-01,-5.400712e-01,-6.378120e-01
0,0,23,6.726457e-01,-6.085222e-01,-4.210089e-01
0,0,24,4.958102e-01,-6.526600e-01,-5.728937e-01
0,0,25,6.542132e-01,-4.651388e-01,-5.963648e-01
0,0,26,4.808167e-01,-6.888292e-01,-5.425215e-01
0,0,27,4.685738e-01,-6.515089e-01,-5.966362e-01
0,0,28,-6.113775e-01,5.234766e-01,5.934558e-01
0,0,29,2.943745e-01,-5.649216e-01,-7.708484e-01
0,0,30,2.379449e-01,-7.631426e-01,-6.008291e-01
0,0,31,-6.033509e-01,7.492027e-01,2.732452e-01
0,0,32,4.044051e-01,-8.543396e-01,-3.264358e-01
0,0,33,-6.325217e-01,5.781120e-01,5.154637e-01
0,0,34,-3.700576e-01,4.018872e-01,8.375823e-01
0,0,35,5.580100e-01,-5.325680e-01,-6.363930e-01
0,0,36,-3.495402e-01,6.300881e-01,6.934051e-01
0,0,37,4.784740e-01,-5.788300e-01,-6.603169e-01
0,0,38,-5.471777e-01,5.792904e-01,6.041682e-01
0,0,39,-4.978745e-01,6.224438e-01,6.038913e-01
0,1,0,-7.691941e-01,3.060444e-01,5.609610e-01
0,1,1,4.893273e-01,-5.115618e-01,-7.063026e-01
0,1,2,5.987757e-01,-4.243297e-01,-6.792731e-01
0,1,3,6.946217e-01,-5.132195e-01,-5.040898e-01
0,1,4,-6.470408e-01,5.356510e-01,5.426013e-01
0,1,5,2.611924e-01,-5.994302e-01,-7.566122e-01
0,1,6,-7.590330e-01,5.281757e-01,3.806565e-01
0,1,7,6.626278e-01,-6.138360e-01,-4.291033e-01
0,1,8,6.646712e-01,-3.749333e-01,-6.462485e-01
0,1,9,6.678715e-01,-5.870888e-01,-4.574652e-01
0,1,10,4.975687e-01,-6.984344e-01,-5.144073e-01
0,1,11,-5.869287e-01,4.647756e-01,6.629467e-01
0,1,12,5.624622e-01,-6.764422e-01,-4.754601e-01
0,1,13,5.824500e-01,-6.692138e-01,-4.614162e-01
0,1,14,-4.875315e-01,5.881030e-01,6.453278e-01
0,1,15,7.152482e-01,-3.320630e-01,-6.149424e-01
0,1,16,-6.054920e-01,1.948480e-01,7.716305e-01
0,1,17,8.027722e-01,-4.327896e-01,-4.101828e-01
0,1,18,7.533771e-01,-4.500322e-01,-4.794726e-01
0,1,19,-5.001623e-01,8.345196e-01,2.311162e-01
0,1,20,6.025916e-01,-6.025968e-01,-5.232213e-01
0,1,21,8.808829e-01,-3.872068e-01,-2.722430e-01
0,1,22,5.413446e-01,-5.454139e-01,-6.398981e-01
0,1,23,6.081632e-01,-5.091741e-01,-6.089985e-01
0,1,24,5.144928e-01,-6.915160e-01,-5.070530e-01
0,1,25,-8.383496e-01,3.797579e-01,3.910931e-01
0,1,26,6.846886e-01,-5.667399e-01,-4.582655e-01
